Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
39	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Mettaṁ upekkhaṁ karuṇaṁ vimuttiṁ, Āsevamāno muditañca kāle; Sabbena lokena avirujjhamāno, Eko care khaggavisāṇakappo	In time, cultivate freedom through love, compassion, rejoicing, and equanimity. Not upset by anything in the world, live alone like a rhino’s horn	At the right time pursuing liberation by loving-kindness, equanimity, compassion, and altruistic joy,73 not antagonized by the whole world, one should live alone like a rhinoceros horn.		At the right time consorting with the release through goodwill, compassion, empathetic joy, equanimity, unobstructed by all the world, any world, wander alone like a rhinoceros.	Frequent the mettā-mind, and ruth at times, poised mind and joyful too— unhindered mind by all the world. fare singly as the rhino’s horn		73	
40	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Rāgañca dosañca pahāya mohaṁ, Sandālayitvāna saṁyojanāni; Asantasaṁ jīvitasaṅkhayamhi, Eko care khaggavisāṇakappo	Having given up greed, hate, and delusion, having burst apart the fetters, unafraid at the end of life, live alone like a rhino’s horn.	Having abandoned lust, hatred, and delusion, having sundered the fetters [that keep one bound], not terrified at the extinction of life, one should live alone like a rhinoceros horn.		Having let go of     passion, aversion, delusion; having shattered     the fetters; unfazed     at the ending of life, wander alone like a rhinoceros.	Lust, hatred and delusion gone, all the fetters having snapped, then at life’s end, one trembles not, fare singly as the rhino’s horn		74	
41	1.3 KHAGGAVISĀṆA Rhinoceros horn Teaching for the Hermit-minded	Bhajanti sevanti ca kāraṇatthā, Nikkāraṇā dullabhā ajja mittā; Attaṭṭhapaññā asucī manussā, Eko care khaggavisāṇakappo	They befriend you and serve you for their own sake; these days it’s hard to find friends lacking ulterior motive. Impure folk cleverly profit themselves— live alone like a rhino’s horn.	They resort to you and serve you for a motive; friends without motive are today very rare. Impure people are wise about their own good: one should live alone like a rhinoceros horn.		People follow &associate for a motive. Friends without a motive these days are rare. They’re shrewd for their own ends, &impure. Wander alone like a rhinoceros.	They serve and following having aims— folk cunning, selfish-aimed and foul, friends seeking nought are scarce today, fare singly as the rhino’s horn		75	
1	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Dhammacariyaṁ brahmacariyaṁ, Etadāhu vasuttamaṁ; Pabbajitopi ce hoti, Agārā anagāriyaṁ.	A righteous life, a spiritual life, they call this the supreme treasure. But if someone goes forth from the lay life to homelessness	“Righteous conduct, the spiritual life: they call this the supreme treasure. But if one who has gone forth from home to homelessness,		Living the Dhamma life, living the holy life: This, they say, is the highest power. But if, having gone forth from home into homelessness,	The Good Life living, with Dharma accordingly, they say that this is wealth supreme. But if one leaves the household life gone forth from home to homelessness		76	
2	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	So ce mukharajātiko, vihesābhirato mago; Jīvitaṁ tassa pāpiyo, rajaṁ vaḍḍheti attano.	who is of scurrilous character, a beast and a bully, their life gets worse, as poison grows inside them.	“is of scurrilous character, a brute who delights in harassing others, one’s way of life is worse; one stirs up dust for oneself.		you are harsh-mouthed, delighting in injury, a stupid beast, your life is more evil. You increase your own dust.	and then be one of those foul-mouthed, beast-like, delighted doing harm, such a one’s of evil life increasing “dust” within himself,		77	
3	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Kalahābhirato bhikkhu, Mohadhammena āvuto; Akkhātampi na jānāti, Dhammaṁ buddhena desitaṁ.	A mendicant who loves to argue, wrapped in delusion, doesn’t even know what’s been explained in the Dhamma taught by the Buddha.	“A bhikkhu who delights in quarrels, cloaked by the state of delusion, does not know what has been declared, the Dhamma taught by the Buddha.		A monk delighting in quarrels, shrouded under delusion, doesn’t know the Dhamma even when proclaimed by the Awakened One.	a bhikkhu delighting in quarrelling while in delusion wrapped, knows not the Dharma even when it’s by the Buddha pointed out;		78	
4	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Vihesaṁ bhāvitattānaṁ, avijjāya purakkhato; Saṅkilesaṁ na jānāti, maggaṁ nirayagāminaṁ.	Harassing those who are evolved, governed by ignorance, they don’t know that corruption is the path that leads to hell.	“Harassing one who is self-developed, led on by ignorance, one does not know defilement as the path leading to hell.		Injuring those developed in mind,1 he, surrounded by ignorance, doesn’t know defilement to be          the path that leads     to hell.	led along by ignorance so that one harms those of well-grown mind, and does not know defilements’ path that leads to hellish life.		79	
5	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Vinipātaṁ samāpanno, gabbhā gabbhaṁ tamā tamaṁ; Sa ve tādisako bhikkhu, pecca dukkhaṁ nigacchati.	Entering the underworld, passing from womb to womb, from darkness to darkness, such a mendicant falls into suffering after death.	“Having entered the lower world, going from womb to womb, from darkness to darkness, such a bhikkhu meets suffering after death.		Arriving at deprivation, from womb     to womb, from darkness     to darkness, a monk of this sort, after death, comes to suffering.	To Downfall going on and on, from life to life, from dark to dark, a bhikkhu such as this indeed hereafter to dukkha descends.		80	
6	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Gūthakūpo yathā assa, sampuṇṇo gaṇavassiko; Yo ca evarūpo assa, dubbisodho hi sāṅgaṇo.	One such as that is like a sewer brimful with years of filth for it’s hard to clean one full of grime.	“As there might be a cesspit, full to the brim, many years old, such a one would be similar, for one who is blemished is hard to purify.		Just like a cesspit, full, used for many years, one of this sort, befouled, would be hard to clean.	One such with blemishes is like a public shit-pit filled to the brim, used for many years, so very hard to clean.		81	
7	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Yaṁ evarūpaṁ jānātha, bhikkhavo gehanissitaṁ; Pāpicchaṁ pāpasaṅkappaṁ, pāpaācāragocaraṁ.	Mendicants, knowing that someone is like this, attached to the lay life, of wicked desires and wicked intent, of bad behavior and alms-resort,	“When you know one like this, bhikkhus, one attached to the home life, of evil desires, evil intentions, evil conduct and resort,		Monks, whoever you know to be like this, depending on homes, evil     in his desires, evil     in his resolves, evil     in behavior &range,	O bhikkhus, when you come to know one such attached to household life of evil desires and evil thoughts and of evil ways of behaviour,		82	
8	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Sabbe samaggā hutvāna, abhinibbajjiyātha naṁ; Kāraṇḍavaṁ niddhamatha, kasambuṁ apakassatha.	then having gathered in harmony, you should expel them. Throw out the trash! Get rid of the rubbish!	“having come together in harmony, all of you should shun him. Cast out the trash! Expel the depraved fellow!		all of you, united, shun him. Sweep away the sweepings, throw away the trash,	all of you united then should shun, avoid a person such, blow away these sweepings and throw away that trash,		83	
9	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Tato palāpe vāhetha, Assamaṇe samaṇamānine; Niddhamitvāna pāpicche, Pāpaācāragocare.	And sweep away the scraps— they’re not ascetics, they just think they are. When you’ve thrown out those of wicked desires, of bad behavior and alms-resort,	“Then sweep the chaff away, non-ascetics who imagine themselves ascetics! Having blown away those of evil desires, of evil conduct and resort,		then remove the chaff: non-contemplatives who think they’re contemplatives. Having swept away those of evil desires, evil in behavior &range,	and suchlike cha ffwinnow away— those sham monks, those conceited monks— having blown them off, those who are of evil wants and wrong resorts,		84	
10	2.6  Dhammacariya Wrong Conduct in the Bhikkhu’s Life	Suddhā suddhehi saṁvāsaṁ, Kappayavho patissatā; Tato samaggā nipakā, Dukkhassantaṁ karissathāti.	dwell in communion, ever mindful, the pure with the pure. Then in harmony, alert, you’ll make an end to suffering.”	“let the pure, ever mindful, make their dwelling with the pure. Then, harmonious and judicious, you will make an end of suffering.”		then pure, affiliate mindfully with the pure. Then, united, astute, you will put an end to suffering &stress.	then living in purity with the pure with mindfulness you will abide, in concord live, intelligent— you will arrive at dukkha’s end.		85	
1	2.9 KIṂSĪLA What is Good Conduct?	“Kiṁsīlo kiṁsamācāro, kāni kammāni brūhayaṁ; Naro sammā niviṭṭhassa, uttamatthañca pāpuṇe”.	“With what morality, what conduct, fostering what deeds, would a person lay the foundations right, and reach the highest goal?”	“Having what good behavior, having what sort of conduct, fostering what kind of actions, can a person be properly settled and attain the highest goal?”		“With     what virtue, what behavior, nurturing     what actions, would a person become rightly based and attain the ultimate goal?”	With what kinds of conduct and morality, growing in what sorts of karmas, will a person well-established be for attainment of the highest goal?		324	See also: MN 29–30; AN 5:151; AN 5:202; AN 6:86; AN 8:53; AN 10:58; Thag 5:10
2	2.9 KIṂSĪLA What is Good Conduct?	“Vuḍḍhāpacāyī anusūyako siyā, Kālaññū cassa garūnaṁ dassanāya; Dhammiṁ kathaṁ erayitaṁ khaṇaññū, Suṇeyya sakkacca subhāsitāni.	“Honoring elders without jealousy, they’d know the time to visit their teachers. Treasuring the chance for a Dhamma talk, they’d listen carefully to the well-spoken words.	“One should be respectful toward elders, without envy; one should know the proper time for seeing one’s teachers. When a Dhamma talk is occurring, one who knows the occasion should listen carefully to well-spoken words.		“One should be respectful of one’s superiors1 &not envious; should have a sense of the time for seeing teachers;2 should value the opportunity when a talk on Dhamma’s in progress; should listen intently to well-spoken words;	Let that one be an honourer of elders, never envious, a knower of the right time for the teacher seeing, and when Dharma’s being taught, a knower of that time to listen precisely to those well-spoken words		325	
3	2.9 KIṂSĪLA What is Good Conduct?	Kālena gacche garūnaṁ sakāsaṁ, Thambhaṁ niraṅkatvā nivātavutti; Atthaṁ dhammaṁ saṁyamaṁ brahmacariyaṁ, Anussare ceva samācare ca.	At the right time, they’d humbly enter the teachers’ presence, leaving obstinacy behind. They’d call to mind and put into practice the meaning, the teaching, self-control, and the spiritual life.	“One should go to teachers at the proper time, having dropped one’s pride, with a humble manner.  One should recollect and practice the meaning, the Dhamma, self-control, and the spiritual life.		should go at the proper time, humbly, casting off arrogance, to one’s teacher’s presence; should both recollect &follow the Dhamma, its meaning, restraint, &the holy life.	And at the right time go to the teacher’s presence in an unassuming way, discarding obstinacy, with restraint and recollection of the way to practise, remembering the Dharma for the life of purity		326	
4	2.9 KIṂSĪLA What is Good Conduct?	Dhammārāmo dhammarato, Dhamme ṭhito dhammavinicchayaññū; Nevācare dhammasandosavādaṁ, Tacchehi nīyetha subhāsitehi.	Delighting in the teaching, enjoying the teaching, standing on the teaching, investigating the teaching, they’d never say anything that degraded the teaching, but would be guided by genuine words well-spoken.	“Delighting in the Dhamma, delighted with the Dhamma, firm in the Dhamma, knowing how to judge the Dhamma, one should not engage in talk that corrupts the Dhamma but should be guided by genuine well-spoken words.		lDelighting in     Dhamma, savoring     Dhamma, established in     Dhamma, with a sense of how to investigate     Dhamma, one should not speak in ways destructive     of Dhamma,3 should guide oneself with true, well-spoken words.	Dwelling in the Dharma, delighted in Dharma, in Dharma established, and skilled in deciding Dharma, never uttering words to the Dharma’s detriment, Let such a one be guided by well-spoken truths		327	
